,county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate
22,BACA,CAMPO RE-6,54,38,70.4,16,29.6,16,29.6,6,6,100,0,0,0,0,0,0,0,0,0,0,0,38,30,78.9,8,21.1,8,21.1,0,0,0,0,0,0,0,14,12,85.7,2,14.3,2,14.3,0,0,0,0,0,0,0,1,1,100,0,0,0,0
23,BENT,LAS ANIMAS RE-1,569,429,75.4,140,24.6,147,25.8,66,45,68.2,21,31.8,23,34.8,3,3,100,0,0,0,0,458,355,77.5,103,22.5,109,23.8,1,1,100,0,0,0,0,431,339,78.7,92,21.3,98,22.7,0,0,0,0,0,0,0,20,18,90,2,10,2,10
24,BENT,MC CLAVE RE-2,296,246,83.1,50,16.9,51,17.2,17,15,88.2,2,11.8,2,11.8,31,25,80.6,6,19.4,6,19.4,181,143,79,38,21,39,21.5,9,5,55.6,4,44.4,4,44.4,145,125,86.2,20,13.8,21,14.5,0,0,0,0,0,0,0,19,19,100,0,0,0,0
25,BOULDER,ST VRAIN VALLEY RE 1J,29351,24282,82.7,5015,17.1,5364,18.3,2453,2096,85.4,354,14.4,382,15.6,5323,4566,85.8,750,14.1,830,15.6,10467,8650,82.6,1783,17,1993,19,60,50,83.3,10,16.7,12,20,333,304,91.3,29,8.7,34,10.2,936,490,52.4,431,46,508,54.3,2109,1975,93.6,134,6.4,138,6.5
26,BOULDER,BOULDER VALLEY RE 2,31329,26465,84.5,4832,15.4,5099,16.3,2857,2469,86.4,388,13.6,414,14.5,3006,2461,81.9,541,18,577,19.2,6921,5387,77.8,1519,21.9,1651,23.9,2,0,0,2,100,2,100,2077,1728,83.2,344,16.6,371,17.9,800,511,63.9,286,35.8,324,40.5,4696,4348,92.6,348,7.4,374,8
27,CHAFFEE,BUENA VISTA R-31,1077,803,74.6,273,25.3,295,27.4,93,79,84.9,14,15.1,17,18.3,3,2,66.7,1,33.3,1,33.3,451,333,73.8,118,26.2,125,27.7,0,0,0,0,0,0,0,68,56,82.4,12,17.6,12,17.6,1,0,0,1,100,1,100,22,20,90.9,2,9.1,2,9.1
28,CHAFFEE,SALIDA R-32,1201,904,75.3,295,24.6,314,26.1,98,76,77.6,22,22.4,23,23.5,35,24,68.6,11,31.4,11,31.4,496,397,80,98,19.8,111,22.4,0,0,0,0,0,0,0,870,624,71.7,245,28.2,260,29.9,8,4,50,4,50,5,62.5,62,59,95.2,3,4.8,4,6.5
29,CHEYENNE,KIT CARSON R-1,131,102,77.9,29,22.1,29,22.1,10,6,60,4,40,4,40,2,0,0,2,100,2,100,61,45,73.8,16,26.2,16,26.2,2,0,0,2,100,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100,0,0,0,0
30,CHEYENNE,CHEYENNE COUNTY RE-5,208,145,69.7,63,30.3,65,31.3,30,23,76.7,7,23.3,8,26.7,28,12,42.9,16,57.1,16,57.1,89,56,62.9,33,37.1,35,39.3,4,1,25,3,75,3,75,20,15,75,5,25,5,25,0,0,0,0,0,0,0,4,3,75,1,25,1,25
31,CLEAR CREEK,CLEAR CREEK RE-1,1080,761,70.5,319,29.5,338,31.3,97,69,71.1,28,28.9,30,30.9,13,11,84.6,2,15.4,2,15.4,285,209,73.3,76,26.7,85,29.8,0,0,0,0,0,0,0,268,196,73.1,72,26.9,74,27.6,0,0,0,0,0,0,0,82,70,85.4,12,14.6,12,14.6
32,CONEJOS,NORTH CONEJOS RE-1J,1110,838,75.5,266,24,284,25.6,59,42,71.2,17,28.8,18,30.5,0,0,0,0,0,0,0,733,608,82.9,122,16.6,133,18.1,2,2,100,0,0,0,0,1036,814,78.6,216,20.8,231,22.3,1,0,0,1,100,1,100,29,26,89.7,3,10.3,3,10.3
33,CONEJOS,SANFORD 6J,369,287,77.8,82,22.2,82,22.2,27,19,70.4,8,29.6,8,29.6,2,2,100,0,0,0,0,245,188,76.7,57,23.3,57,23.3,0,0,0,0,0,0,0,210,163,77.6,47,22.4,47,22.4,2,0,0,2,100,2,100,48,43,89.6,5,10.4,5,10.4
34,CONEJOS,SOUTH CONEJOS RE-10,276,193,69.9,83,30.1,84,30.4,15,11,73.3,4,26.7,4,26.7,26,23,88.5,3,11.5,3,11.5,198,147,74.2,51,25.8,52,26.3,0,0,0,0,0,0,0,275,193,70.2,82,29.8,83,30.2,0,0,0,0,0,0,0,3,2,66.7,1,33.3,1,33.3
