,county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
10,COLORADO BOCS,816.0,378.0,443.0,447.0,83.0,51.0,37.0,37.0,35.0,16.0,19.0,19.0,164.0,76.0,88.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,20.0,21.0,4.0,1.0,3.0,4.0,387.0,178.0,209.0,211.0,429.0,200.0,234.0,236.0,16.0,11.0,5.0,5.0,21.0,10.0,11.0,11.0,211.0,54.0,158.0,158.0,526.0,284.0,246.0,250.0,28.0,17.0,19.0,22.0,12.0,15.0,77.0,44.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,9.0,10.0,3.0,1.0,2.0,46.32,54.29,54.78,61.45,44.58,44.58,60.71,67.86,45.71,54.29,54.29,54.55,68.18,46.34,53.66,54.88,57.14,71.43,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,44.44,55.56,58.33,60.0,66.67,25.0,75.0,100.0,33.33,66.67,45.99,54.01,54.52,46.62,54.55,55.01,11.88,13.96,14.09,53.99,46.77,47.53,47.62,52.38,52.38,25.59,74.88,74.88,68.75,31.25,31.25
11,CONEJOS,1755.0,1318.0,431.0,450.0,101.0,72.0,29.0,30.0,28.0,25.0,3.0,3.0,1176.0,943.0,230.0,242.0,2.0,2.0,0.0,0.0,1521.0,1170.0,345.0,361.0,3.0,0.0,3.0,3.0,80.0,71.0,9.0,9.0,906.0,675.0,229.0,240.0,849.0,643.0,202.0,210.0,11.0,0.0,11.0,11.0,7.0,5.0,2.0,2.0,1006.0,752.0,248.0,264.0,696.0,535.0,161.0,163.0,15.0,13.0,14.0,3.0,2.0,2.0,92.0,78.0,79.0,1.0,0.0,0.0,92.0,82.0,82.0,1.0,0.0,0.0,6.0,6.0,6.0,75.1,24.56,25.64,71.29,28.71,29.7,86.67,93.33,89.29,10.71,10.71,66.67,66.67,80.19,19.56,20.58,84.78,85.87,100.0,0.0,0.0,0.0,0.0,76.92,22.68,23.73,89.13,89.13,0.0,100.0,100.0,0.0,0.0,88.75,11.25,11.25,100.0,100.0,74.5,25.28,26.49,75.74,23.79,24.73,8.22,2.79,2.92,76.87,23.13,23.42,71.43,28.57,28.57,74.75,24.65,26.24,0.0,100.0,100.0
12,COSTILLA,586.0,383.0,203.0,222.0,46.0,34.0,12.0,13.0,92.0,74.0,18.0,19.0,506.0,326.0,180.0,197.0,21.0,14.0,7.0,7.0,403.0,253.0,150.0,163.0,77.0,30.0,47.0,52.0,5.0,5.0,0.0,0.0,274.0,183.0,91.0,103.0,312.0,200.0,112.0,119.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,466.0,333.0,133.0,142.0,96.0,37.0,59.0,65.0,1.0,1.0,1.0,17.0,17.0,17.0,30.0,27.0,27.0,1.0,1.0,1.0,18.0,15.0,15.0,5.0,4.0,4.0,3.0,3.0,3.0,65.36,34.64,37.88,73.91,26.09,28.26,100.0,100.0,80.43,19.57,20.65,100.0,100.0,64.43,35.57,38.93,90.0,90.0,66.67,33.33,33.33,100.0,100.0,62.78,37.22,40.45,83.33,83.33,38.96,61.04,67.53,80.0,80.0,100.0,0.0,0.0,100.0,100.0,66.79,33.21,37.59,64.1,35.9,38.14,24.38,12.12,13.72,38.54,61.46,67.71,50.0,50.0,50.0,71.46,28.54,30.47,100.0,0.0,0.0
13,CROWLEY,578.0,382.0,196.0,203.0,60.0,35.0,25.0,26.0,5.0,2.0,3.0,3.0,419.0,262.0,157.0,163.0,2.0,2.0,0.0,0.0,578.0,382.0,196.0,203.0,0.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,271.0,175.0,96.0,101.0,307.0,207.0,100.0,102.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,139.0,86.0,53.0,57.0,385.0,257.0,128.0,131.0,4.0,3.0,3.0,0.0,0.0,0.0,31.0,28.0,30.0,0.0,0.0,0.0,38.0,36.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,66.09,33.91,35.12,58.33,41.67,43.33,75.0,75.0,40.0,60.0,60.0,0.0,0.0,62.53,37.47,38.9,90.32,96.77,100.0,0.0,0.0,0.0,0.0,66.09,33.91,35.12,94.74,97.37,0.0,0.0,0.0,100.0,100.0,81.82,18.18,18.18,0.0,0.0,64.58,35.42,37.27,67.43,32.57,33.22,23.83,13.07,13.75,66.75,33.25,34.03,50.0,50.0,50.0,61.87,38.13,41.01,0.0,0.0,0.0
14,CUSTER,480.0,361.0,119.0,121.0,50.0,44.0,6.0,6.0,0.0,0.0,0.0,0.0,212.0,142.0,70.0,70.0,0.0,0.0,0.0,0.0,178.0,128.0,50.0,51.0,0.0,0.0,0.0,0.0,38.0,35.0,3.0,3.0,238.0,182.0,56.0,57.0,242.0,179.0,63.0,64.0,7.0,7.0,0.0,0.0,5.0,4.0,1.0,1.0,20.0,6.0,14.0,14.0,436.0,336.0,100.0,102.0,5.0,5.0,5.0,0.0,0.0,0.0,20.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,75.21,24.79,25.21,88.0,12.0,12.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,66.98,33.02,33.02,90.0,90.0,0.0,0.0,0.0,0.0,0.0,71.91,28.09,28.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,7.89,7.89,85.71,85.71,76.47,23.53,23.95,73.97,26.03,26.45,32.13,9.89,10.06,77.06,22.94,23.39,80.0,20.0,20.0,30.0,70.0,70.0,100.0,0.0,0.0
15,DELTA,5630.0,4387.0,1222.0,1344.0,524.0,428.0,92.0,107.0,422.0,311.0,110.0,120.0,2821.0,2114.0,692.0,781.0,53.0,28.0,25.0,25.0,2272.0,1785.0,475.0,525.0,61.0,15.0,45.0,52.0,333.0,316.0,17.0,17.0,2735.0,2142.0,585.0,638.0,2895.0,2245.0,637.0,706.0,75.0,36.0,39.0,39.0,29.0,16.0,13.0,13.0,1154.0,936.0,214.0,242.0,4204.0,3285.0,905.0,985.0,44.0,30.0,30.0,30.0,22.0,22.0,238.0,188.0,193.0,5.0,5.0,5.0,2.0,0.0,0.0,10.0,4.0,5.0,40.0,39.0,39.0,77.92,21.71,23.87,81.68,17.56,20.42,68.18,68.18,73.7,26.07,28.44,73.33,73.33,74.94,24.53,27.69,78.99,81.09,52.83,47.17,47.17,100.0,100.0,78.57,20.91,23.11,0.0,0.0,24.59,73.77,85.25,40.0,50.0,94.89,5.11,5.11,97.5,97.5,78.32,21.39,23.33,77.55,22.0,24.39,2.86,0.78,0.85,78.14,21.53,23.43,55.17,44.83,44.83,81.11,18.54,20.97,48.0,52.0,52.0
16,DENVER,100781.0,70226.0,29784.0,34485.0,9523.0,7080.0,2368.0,2924.0,33198.0,24936.0,8076.0,9297.0,65820.0,49504.0,15737.0,19042.0,35.0,31.0,4.0,4.0,68363.0,47071.0,20573.0,24585.0,2174.0,1064.0,1028.0,1368.0,11759.0,10200.0,1513.0,1780.0,49991.0,34871.0,14731.0,16821.0,50790.0,35355.0,15053.0,17664.0,3288.0,2387.0,895.0,984.0,13744.0,9195.0,4383.0,5381.0,56185.0,40470.0,15274.0,18046.0,23656.0,15562.0,7985.0,8623.0,725.0,251.0,271.0,1141.0,558.0,577.0,4505.0,2176.0,2338.0,52.0,24.0,26.0,4328.0,2069.0,2231.0,404.0,106.0,117.0,952.0,743.0,774.0,69.68,29.55,34.22,74.35,24.87,30.7,34.62,37.38,75.11,24.33,28.0,48.9,50.57,75.21,23.91,28.93,48.3,51.9,88.57,11.43,11.43,46.15,50.0,68.85,30.09,35.96,47.8,51.55,48.94,47.29,62.93,26.24,28.96,86.74,12.87,15.14,78.05,81.3,69.75,29.47,33.65,69.61,29.64,34.78,0.14,0.06,0.07,65.78,33.75,36.45,66.9,31.89,39.15,72.03,27.19,32.12,72.6,27.22,29.93
17,DOLORES,318.0,229.0,89.0,91.0,25.0,16.0,9.0,9.0,0.0,0.0,0.0,0.0,146.0,102.0,44.0,45.0,0.0,0.0,0.0,0.0,161.0,119.0,42.0,43.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,156.0,116.0,40.0,41.0,162.0,113.0,49.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,9.0,12.0,13.0,266.0,202.0,64.0,65.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,9.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,72.01,27.99,28.62,64.0,36.0,36.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,69.86,30.14,30.82,81.82,90.91,0.0,0.0,0.0,0.0,0.0,73.91,26.09,26.71,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,74.36,25.64,26.28,69.75,30.25,30.86,47.67,16.44,16.85,75.94,24.06,24.44,100.0,0.0,0.0,42.86,57.14,61.9,0.0,0.0,0.0
18,DOUGLAS,66965.0,55140.0,11722.0,12396.0,5677.0,4896.0,773.0,854.0,3254.0,2026.0,1225.0,1297.0,7219.0,5364.0,1852.0,1913.0,7.0,1.0,6.0,6.0,1644.0,935.0,709.0,763.0,678.0,399.0,276.0,335.0,4022.0,3733.0,286.0,303.0,32803.0,27070.0,5682.0,5992.0,34162.0,28070.0,6040.0,6404.0,2606.0,2157.0,445.0,486.0,1546.0,917.0,627.0,670.0,9325.0,6706.0,2605.0,2780.0,50557.0,43000.0,7481.0,7856.0,331.0,220.0,227.0,82.0,61.0,62.0,534.0,346.0,368.0,1.0,0.0,0.0,329.0,252.0,265.0,79.0,44.0,49.0,266.0,262.0,265.0,82.34,17.5,18.51,86.24,13.62,15.04,66.47,68.58,62.26,37.65,39.86,74.39,75.61,74.3,25.65,26.5,64.79,68.91,14.29,85.71,85.71,0.0,0.0,56.87,43.13,46.41,76.6,80.55,58.85,40.71,49.41,55.7,62.03,92.81,7.11,7.53,98.5,99.62,82.52,17.32,18.27,82.17,17.68,18.75,0.25,0.05,0.06,85.05,14.8,15.54,59.31,40.56,43.34,71.91,27.94,29.81,82.77,17.08,18.65
19,EAGLE,6749.0,5472.0,1261.0,1365.0,584.0,507.0,76.0,88.0,2428.0,1965.0,455.0,505.0,2834.0,2278.0,547.0,612.0,28.0,22.0,6.0,6.0,1970.0,1602.0,361.0,406.0,87.0,42.0,45.0,50.0,527.0,462.0,65.0,68.0,3205.0,2631.0,568.0,621.0,3544.0,2841.0,693.0,744.0,67.0,57.0,10.0,12.0,25.0,19.0,6.0,6.0,3327.0,2711.0,605.0,665.0,3198.0,2584.0,610.0,647.0,31.0,18.0,18.0,142.0,68.0,68.0,149.0,113.0,113.0,2.0,2.0,2.0,1.0,0.0,0.0,11.0,7.0,7.0,45.0,43.0,44.0,81.08,18.68,20.23,86.82,13.01,15.07,58.06,58.06,80.93,18.74,20.8,47.89,47.89,80.38,19.3,21.59,75.84,75.84,78.57,21.43,21.43,100.0,100.0,81.32,18.32,20.61,0.0,0.0,48.28,51.72,57.47,63.64,63.64,87.67,12.33,12.9,95.56,97.78,82.09,17.72,19.38,80.16,19.55,20.99,2.56,0.55,0.6,80.8,19.07,20.23,76.0,24.0,24.0,81.48,18.18,19.99,85.07,14.93,17.91
