county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
MONTEZUMA,MANCOS RE-6,449,304,146,151,26,22,5,6,33,20,13,13,287,188,100,104,2,2,0,0,29,18,11,11,11,3,8,8,35,27,8,8,211,132,79,83,238,172,67,68,0,0,0,0,3,0,3,3,75,41,34,35,334,241,94,98,2,2,2,1,1,1,13,12,13,0,0,0,0,0,0,2,2,2,3,3,3,67.71,32.52,33.63,84.62,19.23,23.08,100.0,100.0,60.61,39.39,39.39,100.0,100.0,65.51,34.84,36.24,92.31,100.0,100.0,0.0,0.0,0.0,0.0,62.07,37.93,37.93,0.0,0.0,27.27,72.73,72.73,100.0,100.0,77.14,22.86,22.86,100.0,100.0,62.56,37.44,39.34,72.27,28.15,28.57,29.65,17.74,18.64,72.16,28.14,29.34,0.0,100.0,100.0,54.67,45.33,46.67,0.0,0.0,0.0
MONTROSE,MONTROSE COUNTY RE-1J,6747,5229,1484,1693,567,451,113,128,1080,879,196,234,3766,2954,789,958,92,54,34,43,3080,2362,703,811,254,103,145,183,471,431,40,41,3267,2562,688,782,3480,2667,796,911,31,23,8,8,31,22,9,9,2414,1919,483,560,4042,3105,916,1037,31,13,13,54,33,33,266,187,190,9,1,2,6,1,1,19,11,11,49,47,49,77.5,21.99,25.09,79.54,19.93,22.57,41.94,41.94,81.39,18.15,21.67,61.11,61.11,78.44,20.95,25.44,70.3,71.43,58.7,36.96,46.74,11.11,22.22,76.69,22.82,26.33,16.67,16.67,40.55,57.09,72.05,57.89,57.89,91.51,8.49,8.7,95.92,100.0,78.42,21.06,23.94,76.64,22.87,26.18,2.4,0.64,0.73,76.82,22.66,25.66,70.97,29.03,29.03,79.49,20.01,23.2,74.19,25.81,25.81
MONTROSE,WEST END RE-2,351,254,97,103,43,32,11,13,10,3,7,7,179,125,54,59,0,0,0,0,47,32,15,16,1,1,0,0,3,3,0,0,185,134,51,56,166,120,46,47,1,1,0,0,5,4,1,1,34,12,22,22,302,231,71,77,1,1,1,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,1,1,1,72.36,27.64,29.34,74.42,25.58,30.23,100.0,100.0,30.0,70.0,70.0,0.0,0.0,69.83,30.17,32.96,60.0,60.0,0.0,0.0,0.0,0.0,0.0,68.09,31.91,34.04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,72.43,27.57,30.27,72.29,27.71,28.31,39.15,14.9,16.36,76.49,23.51,25.5,80.0,20.0,20.0,35.29,64.71,64.71,100.0,0.0,0.0
MORGAN,BRUSH RE-2(J),1603,1244,359,396,140,101,39,40,272,236,36,46,893,688,205,236,31,16,15,18,107,92,15,20,35,5,30,38,142,132,10,11,806,623,183,203,797,621,176,193,4,4,0,0,17,11,6,6,789,623,166,188,755,577,178,193,10,6,7,10,8,8,61,44,50,4,3,3,2,2,2,6,2,4,7,7,7,77.6,22.4,24.7,72.14,27.86,28.57,60.0,70.0,86.76,13.24,16.91,80.0,80.0,77.04,22.96,26.43,72.13,81.97,51.61,48.39,58.06,75.0,75.0,85.98,14.02,18.69,100.0,100.0,14.29,85.71,108.57,33.33,66.67,92.96,7.04,7.75,100.0,100.0,77.3,22.7,25.19,77.92,22.08,24.22,9.59,2.82,3.13,76.42,23.58,25.56,64.71,35.29,35.29,78.96,21.04,23.83,100.0,0.0,0.0
MORGAN,FORT MORGAN RE-3,3403,2629,770,843,326,255,70,83,1181,931,249,269,2316,1809,504,568,192,98,93,100,1285,987,296,327,123,37,86,95,172,161,11,11,1654,1282,369,408,1749,1347,401,435,15,9,6,6,139,67,72,75,2017,1599,417,463,1177,914,260,283,16,7,8,74,34,40,159,99,116,22,8,9,9,4,6,13,3,3,19,19,19,77.26,22.63,24.77,78.22,21.47,25.46,43.75,50.0,78.83,21.08,22.78,45.95,54.05,78.11,21.76,24.53,62.26,72.96,51.04,48.44,52.08,36.36,40.91,76.81,23.04,25.45,44.44,66.67,30.08,69.92,77.24,23.08,23.08,93.6,6.4,6.4,100.0,100.0,77.51,22.31,24.67,77.02,22.93,24.87,4.69,1.35,1.49,77.66,22.09,24.04,48.2,51.8,53.96,79.28,20.67,22.95,60.0,40.0,40.0
MORGAN,WELDON VALLEY RE-20(J),225,166,59,59,19,14,5,5,2,2,0,0,4,1,3,3,0,0,0,0,34,30,4,4,0,0,0,0,18,15,3,3,119,88,31,31,106,78,28,28,1,0,1,1,0,0,0,0,33,21,12,12,191,145,46,46,1,1,1,0,0,0,6,6,6,0,0,0,2,2,2,0,0,0,1,1,1,73.78,26.22,26.22,73.68,26.32,26.32,100.0,100.0,100.0,0.0,0.0,0.0,0.0,25.0,75.0,75.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,88.24,11.76,11.76,100.0,100.0,0.0,0.0,0.0,0.0,0.0,83.33,16.67,16.67,100.0,100.0,73.95,26.05,26.05,73.58,26.42,26.42,62.14,21.89,21.89,75.92,24.08,24.08,0.0,0.0,0.0,63.64,36.36,36.36,0.0,100.0,100.0
MORGAN,WIGGINS RE-50(J),561,412,149,152,37,23,14,15,116,93,23,24,266,219,47,49,19,11,8,8,559,412,147,150,21,8,13,14,30,28,2,2,266,201,65,66,295,211,84,86,3,3,0,0,3,2,1,1,161,100,61,62,368,292,76,78,1,1,1,5,1,1,28,19,19,3,1,1,43,34,34,6,4,4,3,3,3,73.44,26.56,27.09,62.16,37.84,40.54,100.0,100.0,80.17,19.83,20.69,20.0,20.0,82.33,17.67,18.42,67.86,67.86,57.89,42.11,42.11,33.33,33.33,73.7,26.3,26.83,79.07,79.07,38.1,61.9,66.67,66.67,66.67,93.33,6.67,6.67,100.0,100.0,75.56,24.44,24.81,71.53,28.47,29.15,28.41,9.19,9.33,79.35,20.65,21.2,66.67,33.33,33.33,62.11,37.89,38.51,100.0,0.0,0.0
OTERO,EAST OTERO R-1,1494,1056,438,471,174,118,56,59,37,28,9,9,1030,755,275,298,6,5,1,1,866,619,247,264,2,0,2,2,13,12,1,1,729,518,211,226,765,538,227,245,6,5,1,1,6,5,1,1,945,684,261,281,498,340,158,171,13,7,7,3,2,2,78,65,69,0,0,0,22,11,14,0,0,0,2,2,2,70.68,29.32,31.53,67.82,32.18,33.91,53.85,53.85,75.68,24.32,24.32,66.67,66.67,73.3,26.7,28.93,83.33,88.46,83.33,16.67,16.67,0.0,0.0,71.48,28.52,30.48,50.0,63.64,0.0,100.0,100.0,0.0,0.0,92.31,7.69,7.69,100.0,100.0,71.06,28.94,31.0,70.33,29.67,32.03,9.75,3.97,4.25,68.27,31.73,34.34,83.33,16.67,16.67,72.38,27.62,29.74,83.33,16.67,16.67
OTERO,ROCKY FORD R-2,965,700,265,279,97,68,29,31,93,64,29,31,752,548,204,217,24,12,12,14,657,492,165,175,1,0,1,1,24,22,2,3,438,310,128,133,527,390,137,146,7,5,2,2,11,6,5,5,669,500,169,181,274,185,89,91,5,3,3,2,1,2,41,28,34,1,1,1,3,2,3,2,0,1,2,2,2,72.54,27.46,28.91,70.1,29.9,31.96,60.0,60.0,68.82,31.18,33.33,50.0,100.0,72.87,27.13,28.86,68.29,82.93,50.0,50.0,58.33,100.0,100.0,74.89,25.11,26.64,66.67,100.0,0.0,100.0,100.0,0.0,50.0,91.67,8.33,12.5,100.0,100.0,70.78,29.22,30.37,74.0,26.0,27.7,16.16,6.67,6.93,67.52,32.48,33.21,54.55,45.45,45.45,74.74,25.26,27.06,71.43,28.57,28.57
OTERO,MANZANOLA 3J,201,120,81,85,14,12,2,2,59,23,36,36,162,99,63,66,45,17,28,28,100,60,40,41,0,0,0,0,3,3,0,0,94,56,38,39,107,64,43,46,0,0,0,0,1,1,0,0,138,79,59,62,62,40,22,23,1,1,1,3,3,3,11,10,10,0,0,0,0,0,0,0,0,0,1,1,1,59.7,40.3,42.29,85.71,14.29,14.29,100.0,100.0,38.98,61.02,61.02,100.0,100.0,61.11,38.89,40.74,90.91,90.91,37.78,62.22,62.22,0.0,0.0,60.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,59.57,40.43,41.49,59.81,40.19,42.99,63.37,43.01,44.14,64.52,35.48,37.1,100.0,0.0,0.0,57.25,42.75,44.93,0.0,0.0,0.0
OTERO,FOWLER R-4J,463,345,118,124,32,27,5,5,9,5,4,4,269,185,84,90,4,0,4,4,52,36,16,16,0,0,0,0,22,22,0,0,244,190,54,56,219,155,64,68,0,0,0,0,0,0,0,0,94,68,26,28,358,273,85,87,2,2,2,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,2,2,2,74.51,25.49,26.78,84.38,15.62,15.62,100.0,100.0,55.56,44.44,44.44,0.0,0.0,68.77,31.23,33.46,100.0,100.0,0.0,100.0,100.0,0.0,0.0,69.23,30.77,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,77.87,22.13,22.95,70.78,29.22,31.05,31.91,9.07,9.41,76.26,23.74,24.3,0.0,0.0,0.0,72.34,27.66,29.79,0.0,0.0,0.0
OTERO,CHERAW 31,224,178,46,48,26,16,10,10,0,0,0,0,130,99,31,33,3,3,0,0,69,54,15,15,1,1,0,0,13,11,2,2,114,97,17,18,110,81,29,30,0,0,0,0,3,0,3,3,46,33,13,14,172,143,29,30,1,0,0,0,0,0,10,8,8,0,0,0,2,1,1,1,1,1,5,5,5,79.46,20.54,21.43,61.54,38.46,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.15,23.85,25.38,80.0,80.0,100.0,0.0,0.0,0.0,0.0,78.26,21.74,21.74,50.0,50.0,100.0,0.0,0.0,100.0,100.0,84.62,15.38,15.38,100.0,100.0,85.09,14.91,15.79,73.64,26.36,27.27,74.64,13.08,13.85,83.14,16.86,17.44,0.0,100.0,100.0,71.74,28.26,30.43,0.0,0.0,0.0
OTERO,SWINK 33,417,315,102,103,21,17,4,4,8,7,1,1,190,134,56,57,1,0,1,1,36,30,6,6,2,0,2,2,0,0,0,0,205,150,55,56,212,165,47,47,27,21,6,6,6,3,3,3,105,75,30,30,269,208,61,62,2,2,2,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,75.54,24.46,24.7,80.95,19.05,19.05,100.0,100.0,87.5,12.5,12.5,0.0,0.0,70.53,29.47,30.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,83.33,16.67,16.67,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17,26.83,27.32,77.83,22.17,22.17,35.69,13.09,13.33,77.32,22.68,23.05,50.0,50.0,50.0,71.43,28.57,28.57,77.78,22.22,22.22
OURAY,OURAY R-1,219,146,73,75,25,17,8,8,9,6,3,3,70,47,23,23,0,0,0,0,20,11,9,9,0,0,0,0,29,25,4,4,117,76,41,42,102,70,32,33,4,3,1,1,1,1,0,0,30,17,13,14,182,123,59,60,5,4,4,3,1,1,11,8,8,0,0,0,1,0,0,0,0,0,0,0,0,66.67,33.33,34.25,68.0,32.0,32.0,80.0,80.0,66.67,33.33,33.33,33.33,33.33,67.14,32.86,32.86,72.73,72.73,0.0,0.0,0.0,0.0,0.0,55.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.21,13.79,13.79,0.0,0.0,64.96,35.04,35.9,68.63,31.37,32.35,55.52,29.95,30.68,67.58,32.42,32.97,100.0,0.0,0.0,56.67,43.33,46.67,75.0,25.0,25.0
OURAY,RIDGWAY R-2,386,273,113,117,18,12,6,7,18,3,15,15,139,93,46,48,3,2,1,1,24,13,11,12,1,0,1,1,29,28,1,1,191,128,63,65,195,145,50,52,4,3,1,1,1,1,0,0,38,16,22,24,324,238,86,88,3,1,2,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,2,2,2,70.73,29.27,30.31,66.67,33.33,38.89,33.33,66.67,16.67,83.33,83.33,0.0,0.0,66.91,33.09,34.53,66.67,83.33,66.67,33.33,33.33,0.0,0.0,54.17,45.83,50.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,96.55,3.45,3.45,100.0,100.0,67.02,32.98,34.03,74.36,25.64,26.67,35.09,17.27,17.82,73.46,26.54,27.16,100.0,0.0,0.0,42.11,57.89,63.16,75.0,25.0,25.0
PARK,PLATTE CANYON 1,1247,857,390,404,133,96,37,39,0,0,0,0,467,301,166,171,0,0,0,0,125,79,46,47,5,0,5,5,116,100,16,17,588,405,183,191,659,452,207,213,15,11,4,4,9,5,4,5,104,72,32,33,1060,736,324,334,12,8,8,0,0,0,30,20,21,0,0,0,1,0,0,1,0,0,9,7,7,68.72,31.28,32.4,72.18,27.82,29.32,66.67,66.67,0.0,0.0,0.0,0.0,0.0,64.45,35.55,36.62,66.67,70.0,0.0,0.0,0.0,0.0,0.0,63.2,36.8,37.6,0.0,0.0,0.0,100.0,100.0,0.0,0.0,86.21,13.79,14.66,77.78,77.78,68.88,31.12,32.48,68.59,31.41,32.32,11.71,5.29,5.52,69.43,30.57,31.51,55.56,44.44,55.56,69.23,30.77,31.73,73.33,26.67,26.67
