county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
CHEYENNE,CHEYENNE COUNTY RE-5,208,145,63,65,30,23,7,8,28,12,16,16,89,56,33,35,4,1,3,3,20,15,5,5,0,0,0,0,4,3,1,1,89,60,29,29,119,85,34,36,0,0,0,0,2,0,2,2,47,22,25,25,158,123,35,36,1,0,0,1,1,1,7,5,6,2,2,2,0,0,0,0,0,0,0,0,0
CLEAR CREEK,CLEAR CREEK RE-1,1080,761,319,338,97,69,28,30,13,11,2,2,285,209,76,85,0,0,0,0,268,196,72,74,0,0,0,0,82,70,12,12,548,370,178,190,532,391,141,148,13,7,6,8,14,6,8,8,120,70,50,55,884,639,245,254,7,6,6,2,2,2,22,18,18,0,0,0,0,0,0,0,0,0,16,16,16
CONEJOS,NORTH CONEJOS RE-1J,1110,838,266,284,59,42,17,18,0,0,0,0,733,608,122,133,2,2,0,0,1036,814,216,231,1,0,1,1,29,26,3,3,557,416,139,149,553,422,127,135,7,0,7,7,6,5,1,1,658,498,154,169,416,316,100,102,11,11,11,1,1,1,64,57,57,0,0,0,69,63,63,0,0,0,0,0,0
CONEJOS,SANFORD 6J,369,287,82,82,27,19,8,8,2,2,0,0,245,188,57,57,0,0,0,0,210,163,47,47,2,0,2,2,48,43,5,5,203,153,50,50,166,134,32,32,3,0,3,3,0,0,0,0,107,77,30,30,252,205,47,47,3,1,2,0,0,0,10,7,8,0,0,0,1,1,1,1,0,0,5,5,5
CONEJOS,SOUTH CONEJOS RE-10,276,193,83,84,15,11,4,4,26,23,3,3,198,147,51,52,0,0,0,0,275,193,82,83,0,0,0,0,3,2,1,1,146,106,40,41,130,87,43,43,1,0,1,1,1,0,1,1,241,177,64,65,28,14,14,14,1,1,1,2,1,1,18,14,14,1,0,0,22,18,18,0,0,0,1,1,1
COSTILLA,CENTENNIAL R-1,269,179,90,102,20,17,3,4,38,34,4,4,238,161,77,87,1,1,0,0,269,179,90,102,47,19,28,33,0,0,0,0,131,88,43,49,138,91,47,53,0,0,0,0,0,0,0,0,237,172,65,72,29,6,23,28,1,1,1,10,10,10,14,13,13,0,0,0,17,15,15,4,4,4,0,0,0
COSTILLA,SIERRA GRANDE R-30,317,204,113,120,26,17,9,9,54,40,14,15,268,165,103,110,20,13,7,7,134,74,60,61,30,11,19,19,5,5,0,0,143,95,48,54,174,109,65,66,4,4,0,0,2,1,1,1,229,161,68,70,67,31,36,37,0,0,0,7,7,7,16,14,14,1,1,1,1,0,0,1,0,0,3,3,3
CROWLEY,CROWLEY COUNTY RE-1-J,578,382,196,203,60,35,25,26,5,2,3,3,419,262,157,163,2,2,0,0,578,382,196,203,0,0,0,0,11,9,2,2,271,175,96,101,307,207,100,102,0,0,0,0,4,2,2,2,139,86,53,57,385,257,128,131,4,3,3,0,0,0,31,28,30,0,0,0,38,36,37,1,1,1,0,0,0
CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,480,361,119,121,50,44,6,6,0,0,0,0,212,142,70,70,0,0,0,0,178,128,50,51,0,0,0,0,38,35,3,3,238,182,56,57,242,179,63,64,7,7,0,0,5,4,1,1,20,6,14,14,436,336,100,102,5,5,5,0,0,0,20,18,18,0,0,0,0,0,0,0,0,0,7,6,6
DELTA,DELTA COUNTY 50(J),5630,4387,1222,1344,524,428,92,107,422,311,110,120,2821,2114,692,781,53,28,25,25,2272,1785,475,525,61,15,45,52,333,316,17,17,2735,2142,585,638,2895,2245,637,706,75,36,39,39,29,16,13,13,1154,936,214,242,4204,3285,905,985,44,30,30,30,22,22,238,188,193,5,5,5,2,0,0,10,4,5,40,39,39
