county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate,total_female_pupil_count,total_female_stable_student_count,total_female_stability_rate,total_female_mobile_student_count,total_female_student_mobility_rate,total_female_instances_of_mobility,total_female_mobility_incidence_rate,total_male_pupil_count,total_male_stable_student_count,total_male_stability_rate,total_male_mobile_student_count,total_male_student_mobility_rate,total_male_instances_of_mobility,total_male_mobility_incidence_rate,total_american_indian_or_alaska_native_pupil_count,total_american_indian_or_alaska_native_stable_student_count,total_american_indian_or_alaska_native_stability_rate,total_american_indian_or_alaska_native_mobile_student_count,total_american_indian_or_alaska_native_student_mobility_rate,total_american_indian_or_alaska_native_instances_of_mobility,total_american_indian_or_alaska_native_mobility_incidence_rate,total_asian_pupil_count,total_asian_stable_student_count,total_asian_stability_rate,total_asian_mobile_student_count,total_asian_student_mobility_rate,total_asian_instances_of_mobility,total_asian_mobility_incidence_rate,total_black_or_african_american_pupil_count,total_black_or_african_american_stable_student_count,total_black_or_african_american_stability_rate,total_black_or_african_american_mobile_student_count,total_black_or_african_american_student_mobility_rate,total_black_or_african_american_instances_of_mobility,total_black_or_african_american_mobility_incidence_rate,total_hispanic_or_latino_pupil_count,total_hispanic_or_latino_stable_student_count,total_hispanic_or_latino_stability_rate,total_hispanic_or_latino_mobile_student_count,total_hispanic_or_latino_student_mobility_rate,total_hispanic_or_latino_instances_of_mobility,total_hispanic_or_latino_mobility_incidence_rate,total_white_pupil_count,total_white_stable_student_count,total_white_stability_rate,total_white_mobile_student_count,total_white_student_mobility_rate,total_white_instances_of_mobility,total_white_mobility_incidence_rate,total_native_hawaiian_or_other_pacific_islander_pupil_count,total_native_hawaiian_or_other_pacific_islander_stable_student_count,total_native_hawaiian_or_other_pacific_islander_stability_rate,total_native_hawaiian_or_other_pacific_islander_mobile_student_count,total_native_hawaiian_or_other_pacific_islander_student_mobility_rate,total_native_hawaiian_or_other_pacific_islander_instances_of_mobility,total_native_hawaiian_or_other_pacific_islander_mobility_incidence_rate,total_two_or_more_races_pupil_count,total_two_or_more_races_stable_student_count,total_two_or_more_races_stability_rate,total_two_or_more_races_mobile_student_count,total_two_or_more_races_student_mobility_rate,total_two_or_more_races_instances_of_mobility,total_two_or_more_races_mobility_incidence_rate,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
CONEJOS,SOUTH CONEJOS RE-10,276,193,69.9,83,30.1,84,30.4,15,11,73.3,4,26.7,4,26.7,26,23,88.5,3,11.5,3,11.5,198,147,74.2,51,25.8,52,26.3,0,0,0.0,0,0.0,0,0.0,275,193,70.2,82,29.8,83,30.2,0,0,0.0,0,0.0,0,0.0,3,2,66.7,1,33.3,1,33.3,146,106,72.6,40,27.4,41,28.1,130,87,66.9,43,33.1,43,33.1,2,2,100.0,0,0.0,0,0.0,1,0,0.0,1,100.0,1,100.0,1,0,0.0,1,100.0,1,100.0,241,177,73.4,64,26.6,65,27.0,28,14,50.0,14,50.0,14,50.0,0,0,0.0,0,0.0,0,0.0,3,0,0.0,3,100.0,3,100.0,1,1,100.0,1,100.0,2,1,50.0,1,50.0,18,14,77.8,14,77.8,1,0,0.0,0,0.0,22,18,81.8,18,81.8,0,0,0.0,0,0.0,1,1,100.0,1,100.0
COSTILLA,CENTENNIAL R-1,269,179,66.5,90,33.5,102,37.9,20,17,85.0,3,15.0,4,20.0,38,34,89.5,4,10.5,4,10.5,238,161,67.6,77,32.4,87,36.6,1,1,100.0,0,0.0,0,0.0,269,179,66.5,90,33.5,102,37.9,47,19,40.4,28,59.6,33,70.2,0,0,0.0,0,0.0,0,0.0,131,88,67.2,43,32.8,49,37.4,138,91,65.9,47,34.1,53,38.4,2,1,50.0,1,50.0,1,50.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,237,172,72.6,65,27.4,72,30.4,29,6,20.7,23,79.3,28,96.6,0,0,0.0,0,0.0,0,0.0,1,0,0.0,1,100.0,1,100.0,1,1,100.0,1,100.0,10,10,100.0,10,100.0,14,13,92.9,13,92.9,0,0,0.0,0,0.0,17,15,88.2,15,88.2,4,4,100.0,4,100.0,0,0,0.0,0,0.0
COSTILLA,SIERRA GRANDE R-30,317,204,64.4,113,35.6,120,37.9,26,17,65.4,9,34.6,9,34.6,54,40,74.1,14,25.9,15,27.8,268,165,61.6,103,38.4,110,41.0,20,13,65.0,7,35.0,7,35.0,134,74,55.2,60,44.8,61,45.5,30,11,36.7,19,63.3,19,63.3,5,5,100.0,0,0.0,0,0.0,143,95,66.4,48,33.6,54,37.8,174,109,62.6,65,37.4,66,37.9,3,0,0.0,3,100.0,4,133.3,4,4,100.0,0,0.0,0,0.0,2,1,50.0,1,50.0,1,50.0,229,161,70.3,68,29.7,70,30.6,67,31,46.3,36,53.7,37,55.2,3,0,0.0,3,100.0,6,200.0,9,7,77.8,2,22.2,2,22.2,0,0,0.0,0,0.0,7,7,100.0,7,100.0,16,14,87.5,14,87.5,1,1,100.0,1,100.0,1,0,0.0,0,0.0,1,0,0.0,0,0.0,3,3,100.0,3,100.0
CROWLEY,CROWLEY COUNTY RE-1-J,578,382,66.1,196,33.9,203,35.1,60,35,58.3,25,41.7,26,43.3,5,2,40.0,3,60.0,3,60.0,419,262,62.5,157,37.5,163,38.9,2,2,100.0,0,0.0,0,0.0,578,382,66.1,196,33.9,203,35.1,0,0,0.0,0,0.0,0,0.0,11,9,81.8,2,18.2,2,18.2,271,175,64.6,96,35.4,101,37.3,307,207,67.4,100,32.6,102,33.2,25,20,80.0,5,20.0,5,20.0,0,0,0.0,0,0.0,0,0.0,4,2,50.0,2,50.0,2,50.0,139,86,61.9,53,38.1,57,41.0,385,257,66.8,128,33.2,131,34.0,0,0,0.0,0,0.0,0,0.0,25,17,68.0,8,32.0,8,32.0,4,3,75.0,3,75.0,0,0,0.0,0,0.0,31,28,90.3,30,96.8,0,0,0.0,0,0.0,38,36,94.7,37,97.4,1,1,100.0,1,100.0,0,0,0.0,0,0.0
CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,480,361,75.2,119,24.8,121,25.2,50,44,88.0,6,12.0,6,12.0,0,0,0.0,0,0.0,0,0.0,212,142,67.0,70,33.0,70,33.0,0,0,0.0,0,0.0,0,0.0,178,128,71.9,50,28.1,51,28.7,0,0,0.0,0,0.0,0,0.0,38,35,92.1,3,7.9,3,7.9,238,182,76.5,56,23.5,57,23.9,242,179,74.0,63,26.0,64,26.4,4,3,75.0,1,25.0,1,25.0,7,7,100.0,0,0.0,0,0.0,5,4,80.0,1,20.0,1,20.0,20,6,30.0,14,70.0,14,70.0,436,336,77.1,100,22.9,102,23.4,0,0,0.0,0,0.0,0,0.0,8,5,62.5,3,37.5,3,37.5,5,5,100.0,5,100.0,0,0,0.0,0,0.0,20,18,90.0,18,90.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,7,6,85.7,6,85.7
DELTA,DELTA COUNTY 50(J),5630,4387,77.9,1222,21.7,1344,23.9,524,428,81.7,92,17.6,107,20.4,422,311,73.7,110,26.1,120,28.4,2821,2114,74.9,692,24.5,781,27.7,53,28,52.8,25,47.2,25,47.2,2272,1785,78.6,475,20.9,525,23.1,61,15,24.6,45,73.8,52,85.2,333,316,94.9,17,5.1,17,5.1,2735,2142,78.3,585,21.4,638,23.3,2895,2245,77.5,637,22.0,706,24.4,49,31,63.3,18,36.7,24,49.0,75,36,48.0,39,52.0,39,52.0,29,16,55.2,13,44.8,13,44.8,1154,936,81.1,214,18.5,242,21.0,4204,3285,78.1,905,21.5,985,23.4,6,4,66.7,2,33.3,2,33.3,113,79,69.9,31,27.4,39,34.5,44,30,68.2,30,68.2,30,22,73.3,22,73.3,238,188,79.0,193,81.1,5,5,100.0,5,100.0,2,0,0.0,0,0.0,10,4,40.0,5,50.0,40,39,97.5,39,97.5
DENVER,DENVER COUNTY 1,88761,64903,73.1,23124,26.1,27685,31.2,8815,6798,77.1,1944,22.1,2493,28.3,31131,24032,77.2,6919,22.2,8116,26.1,60056,47096,78.4,12398,20.6,15623,26.0,30,27,90.0,3,10.0,3,10.0,61769,44095,71.4,16980,27.5,20896,33.8,2080,1038,49.9,960,46.2,1299,62.5,11416,10028,87.8,1344,11.8,1606,14.1,43680,32063,73.4,11248,25.8,13251,30.3,45081,32840,72.8,11876,26.3,14434,32.0,741,450,60.7,279,37.7,332,44.8,2991,2203,73.7,782,26.1,870,29.1,13047,8868,68.0,4015,30.8,5004,38.4,51304,38413,74.9,12468,24.3,15171,29.6,17845,12952,72.6,4799,26.9,5383,30.2,198,120,60.6,76,38.4,94,47.5,2635,1897,72.0,705,26.8,831,31.5,614,235,38.3,254,41.4,1000,527,52.7,543,54.3,3745,2010,53.7,2153,57.5,42,21,50.0,23,54.8,3581,1893,52.9,2036,56.9,283,95,33.6,106,37.5,905,720,79.6,747,82.5
DOLORES,DOLORES COUNTY RE NO.2,318,229,72.0,89,28.0,91,28.6,25,16,64.0,9,36.0,9,36.0,0,0,0.0,0,0.0,0,0.0,146,102,69.9,44,30.1,45,30.8,0,0,0.0,0,0.0,0,0.0,161,119,73.9,42,26.1,43,26.7,0,0,0.0,0,0.0,0,0.0,11,11,100.0,0,0.0,0,0.0,156,116,74.4,40,25.6,41,26.3,162,113,69.8,49,30.2,50,30.9,18,14,77.8,4,22.2,4,22.2,0,0,0.0,0,0.0,0,0.0,1,1,100.0,0,0.0,0,0.0,21,9,42.9,12,57.1,13,61.9,266,202,75.9,64,24.1,65,24.4,1,1,100.0,0,0.0,0,0.0,11,2,18.2,9,81.8,9,81.8,1,1,100.0,1,100.0,0,0,0.0,0,0.0,11,9,81.8,10,90.9,0,0,0.0,0,0.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
DOUGLAS,DOUGLAS COUNTY RE 1,66965,55140,82.3,11722,17.5,12396,18.5,5677,4896,86.2,773,13.6,854,15.0,3254,2026,62.3,1225,37.6,1297,39.9,7219,5364,74.3,1852,25.7,1913,26.5,7,1,14.3,6,85.7,6,85.7,1644,935,56.9,709,43.1,763,46.4,678,399,58.8,276,40.7,335,49.4,4022,3733,92.8,286,7.1,303,7.5,32803,27070,82.5,5682,17.3,5992,18.3,34162,28070,82.2,6040,17.7,6404,18.7,320,243,75.9,74,23.1,86,26.9,2606,2157,82.8,445,17.1,486,18.6,1546,917,59.3,627,40.6,670,43.3,9325,6706,71.9,2605,27.9,2780,29.8,50557,43000,85.1,7481,14.8,7856,15.5,100,79,79.0,21,21.0,23,23.0,2511,2038,81.2,469,18.7,495,19.7,331,220,66.5,227,68.6,82,61,74.4,62,75.6,534,346,64.8,368,68.9,1,0,0.0,0,0.0,329,252,76.6,265,80.5,79,44,55.7,49,62.0,266,262,98.5,265,99.6
EAGLE,EAGLE COUNTY RE 50,6749,5472,81.1,1261,18.7,1365,20.2,584,507,86.8,76,13.0,88,15.1,2428,1965,80.9,455,18.7,505,20.8,2834,2278,80.4,547,19.3,612,21.6,28,22,78.6,6,21.4,6,21.4,1970,1602,81.3,361,18.3,406,20.6,87,42,48.3,45,51.7,50,57.5,527,462,87.7,65,12.3,68,12.9,3205,2631,82.1,568,17.7,621,19.4,3544,2841,80.2,693,19.6,744,21.0,52,39,75.0,13,25.0,15,28.8,67,57,85.1,10,14.9,12,17.9,25,19,76.0,6,24.0,6,24.0,3327,2711,81.5,605,18.2,665,20.0,3198,2584,80.8,610,19.1,647,20.2,5,4,80.0,1,20.0,1,20.0,75,58,77.3,16,21.3,19,25.3,31,18,58.1,18,58.1,142,68,47.9,68,47.9,149,113,75.8,113,75.8,2,2,100.0,2,100.0,1,0,0.0,0,0.0,11,7,63.6,7,63.6,45,43,95.6,44,97.8
ELBERT,ELIZABETH C-1,2804,2090,74.5,711,25.4,736,26.2,287,209,72.8,77,26.8,83,28.9,51,36,70.6,15,29.4,15,29.4,482,349,72.4,132,27.4,141,29.3,0,0,0.0,0,0.0,0,0.0,78,69,88.5,9,11.5,9,11.5,0,0,0.0,0,0.0,0,0.0,208,190,91.3,18,8.7,20,9.6,1362,1031,75.7,329,24.2,343,25.2,1442,1059,73.4,382,26.5,393,27.3,14,14,100.0,0,0.0,0,0.0,22,9,40.9,13,59.1,13,59.1,20,8,40.0,12,60.0,12,60.0,273,195,71.4,78,28.6,82,30.0,2396,1819,75.9,574,24.0,594,24.8,7,6,85.7,1,14.3,1,14.3,72,39,54.2,33,45.8,34,47.2,12,10,83.3,10,83.3,4,1,25.0,1,25.0,36,29,80.6,29,80.6,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,24,23,95.8,23,95.8
ELBERT,KIOWA C-2,437,323,73.9,114,26.1,115,26.3,40,32,80.0,8,20.0,8,20.0,14,12,85.7,2,14.3,2,14.3,161,130,80.7,31,19.3,31,19.3,0,0,0.0,0,0.0,0,0.0,48,40,83.3,8,16.7,8,16.7,2,1,50.0,1,50.0,1,50.0,16,12,75.0,4,25.0,4,25.0,218,157,72.0,61,28.0,62,28.4,219,166,75.8,53,24.2,53,24.2,1,1,100.0,0,0.0,0,0.0,3,3,100.0,0,0.0,0,0.0,5,4,80.0,1,20.0,1,20.0,38,25,65.8,13,34.2,13,34.2,376,283,75.3,93,24.7,94,25.0,2,2,100.0,0,0.0,0,0.0,12,5,41.7,7,58.3,7,58.3,1,1,100.0,1,100.0,2,2,100.0,2,100.0,10,10,100.0,10,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,1,1,100.0,1,100.0
ELBERT,BIG SANDY 100J,350,241,68.9,109,31.1,111,31.7,43,24,55.8,19,44.2,19,44.2,6,0,0.0,6,100.0,6,100.0,36,2,5.6,34,94.4,34,94.4,0,0,0.0,0,0.0,0,0.0,242,164,67.8,78,32.2,79,32.6,0,0,0.0,0,0.0,0,0.0,19,19,100.0,0,0.0,0,0.0,168,118,70.2,50,29.8,51,30.4,182,123,67.6,59,32.4,60,33.0,6,5,83.3,1,16.7,1,16.7,4,0,0.0,4,100.0,4,100.0,0,0,0.0,0,0.0,0,0.0,52,24,46.2,28,53.8,29,55.8,274,201,73.4,73,26.6,73,26.6,2,2,100.0,0,0.0,0,0.0,12,9,75.0,3,25.0,4,33.3,4,4,100.0,4,100.0,0,0,0.0,0,0.0,14,13,92.9,13,92.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
ELBERT,ELBERT 200,232,166,71.6,66,28.4,68,29.3,16,13,81.3,3,18.8,3,18.8,4,3,75.0,1,25.0,1,25.0,73,37,50.7,36,49.3,36,49.3,0,0,0.0,0,0.0,0,0.0,22,19,86.4,3,13.6,3,13.6,0,0,0.0,0,0.0,0,0.0,8,7,87.5,1,12.5,1,12.5,109,81,74.3,28,25.7,28,25.7,123,85,69.1,38,30.9,40,32.5,1,1,100.0,0,0.0,0,0.0,4,4,100.0,0,0.0,0,0.0,1,0,0.0,1,100.0,1,100.0,12,7,58.3,5,41.7,5,41.7,201,151,75.1,50,24.9,52,25.9,0,0,0.0,0,0.0,0,0.0,13,3,23.1,10,76.9,10,76.9,2,1,50.0,1,50.0,0,0,0.0,0,0.0,4,2,50.0,2,50.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
ELBERT,AGATE 300,16,5,31.3,13,81.3,13,81.3,3,1,33.3,3,100.0,3,100.0,1,0,0.0,1,100.0,1,100.0,13,3,23.1,11,84.6,11,84.6,0,0,0.0,0,0.0,0,0.0,11,5,45.5,7,63.6,7,63.6,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,11,2,18.2,9,81.8,9,81.8,5,3,60.0,4,80.0,4,80.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,3,0,0.0,3,100.0,3,100.0,13,5,38.5,10,76.9,10,76.9,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
EL PASO,CALHAN RJ-1,645,404,62.6,291,45.1,304,47.1,63,44,69.8,23,36.5,23,36.5,1,1,100.0,0,0.0,0,0.0,209,145,69.4,81,38.8,88,42.1,0,0,0.0,0,0.0,0,0.0,67,53,79.1,26,38.8,29,43.3,0,0,0.0,0,0.0,0,0.0,30,26,86.7,5,16.7,5,16.7,333,210,63.1,145,43.5,154,46.2,312,194,62.2,146,46.8,150,48.1,6,2,33.3,4,66.7,4,66.7,12,7,58.3,5,41.7,5,41.7,7,4,57.1,3,42.9,3,42.9,63,30,47.6,42,66.7,45,71.4,550,356,64.7,235,42.7,245,44.5,0,0,0.0,0,0.0,0,0.0,7,5,71.4,2,28.6,2,28.6,5,4,80.0,4,80.0,0,0,0.0,0,0.0,23,21,91.3,21,91.3,0,0,0.0,0,0.0,6,6,100.0,6,100.0,1,1,100.0,1,100.0,5,5,100.0,5,100.0
EL PASO,HARRISON 2,13926,7941,57.0,5872,42.2,6343,45.5,1208,727,60.2,473,39.2,528,43.7,2019,1503,74.4,493,24.4,561,27.8,9691,5814,60.0,3779,39.0,4172,43.1,1,0,0.0,1,100.0,1,100.0,7173,4034,56.2,3065,42.7,3355,46.8,60,13,21.7,47,78.3,51,85.0,486,426,87.7,58,11.9,62,12.8,6857,3988,58.2,2818,41.1,3027,44.1,7069,3953,55.9,3054,43.2,3316,46.9,228,122,53.5,105,46.1,116,50.9,752,370,49.2,379,50.4,406,54.0,2336,1482,63.4,837,35.8,913,39.1,5514,3374,61.2,2085,37.8,2286,41.5,4815,2424,50.3,2357,49.0,2506,52.0,95,58,61.1,36,37.9,37,38.9,186,111,59.7,73,39.2,79,42.5,48,28,58.3,28,58.3,66,44,66.7,44,66.7,385,287,74.5,293,76.1,1,1,100.0,1,100.0,6,4,66.7,4,66.7,8,6,75.0,6,75.0,48,44,91.7,44,91.7
EL PASO,WIDEFIELD 3,10617,7215,68.0,3380,31.8,3687,34.7,1174,891,75.9,281,23.9,320,27.3,297,195,65.7,99,33.3,114,38.4,4532,3289,72.6,1231,27.2,1390,30.7,3,2,66.7,1,33.3,1,33.3,552,412,74.6,139,25.2,151,27.4,93,28,30.1,64,68.8,76,81.7,273,238,87.2,34,12.5,42,15.4,5176,3514,67.9,1651,31.9,1792,34.6,5441,3701,68.0,1729,31.8,1895,34.8,115,72,62.6,43,37.4,46,40.0,150,109,72.7,41,27.3,43,28.7,1201,768,63.9,431,35.9,473,39.4,2665,1825,68.5,835,31.3,925,34.7,5552,3802,68.5,1735,31.3,1878,33.8,157,97,61.8,60,38.2,65,41.4,777,542,69.8,235,30.2,257,33.1,81,41,50.6,43,53.1,9,6,66.7,6,66.7,257,183,71.2,190,73.9,0,0,0.0,0,0.0,9,4,44.4,5,55.6,24,13,54.2,14,58.3,14,12,85.7,12,85.7
EL PASO,FOUNTAIN 8,9827,5302,54.0,4489,45.7,4738,48.2,1043,649,62.2,393,37.7,422,40.5,564,312,55.3,251,44.5,260,46.1,4283,2466,57.6,1796,41.9,1934,45.2,3,3,100.0,0,0.0,0,0.0,2031,971,47.8,1046,51.5,1129,55.6,323,148,45.8,173,53.6,194,60.1,431,304,70.5,126,29.2,133,30.9,4718,2475,52.5,2225,47.2,2351,49.8,5109,2827,55.3,2264,44.3,2387,46.7,98,48,49.0,50,51.0,54,55.1,178,85,47.8,89,50.0,97,54.5,1363,719,52.8,635,46.6,659,48.3,2162,1213,56.1,941,43.5,988,45.7,5273,2803,53.2,2456,46.6,2609,49.5,78,36,46.2,42,53.8,42,53.8,675,398,59.0,276,40.9,289,42.8,32,23,71.9,23,71.9,9,8,88.9,8,88.9,161,122,75.8,124,77.0,0,0,0.0,0,0.0,3,2,66.7,2,66.7,39,26,66.7,26,66.7,1,1,100.0,1,100.0
EL PASO,COLORADO SPRINGS 11,34548,23868,69.1,10560,30.6,12693,36.7,2465,1757,71.3,700,28.4,934,37.9,3558,2509,70.5,1038,29.2,1239,34.8,18399,12100,65.8,6200,33.7,7456,40.5,23,13,56.5,10,43.5,11,47.8,5869,3994,68.1,1826,31.1,2184,37.2,1567,757,48.3,789,50.4,1019,65.0,2878,2519,87.5,355,12.3,428,14.9,16867,11741,69.6,5070,30.1,6105,36.2,17681,12127,68.6,5490,31.1,6588,37.3,346,213,61.6,133,38.4,170,49.1,641,453,70.7,186,29.0,215,33.5,2709,1555,57.4,1140,42.1,1384,51.1,10087,6925,68.7,3116,30.9,3828,37.9,18129,12880,71.0,5203,28.7,6179,34.1,108,67,62.0,41,38.0,47,43.5,2528,1775,70.2,741,29.3,870,34.4,189,66,34.9,69,36.5,125,60,48.0,63,50.4,1142,621,54.4,678,59.4,1,0,0.0,0,0.0,47,17,36.2,20,42.6,88,34,38.6,37,42.0,250,225,90.0,231,92.4
EL PASO,CHEYENNE MOUNTAIN 12,5059,3785,74.8,1274,25.2,1300,25.7,276,223,80.8,53,19.2,56,20.3,190,132,69.5,58,30.5,60,31.6,814,553,67.9,261,32.1,268,32.9,0,0,0.0,0,0.0,0,0.0,982,685,69.8,297,30.2,299,30.4,5,2,40.0,3,60.0,3,60.0,637,583,91.5,54,8.5,54,8.5,2511,1872,74.6,639,25.4,652,26.0,2548,1913,75.1,635,24.9,648,25.4,37,22,59.5,15,40.5,15,40.5,170,134,78.8,36,21.2,36,21.2,146,88,60.3,58,39.7,58,39.7,704,472,67.0,232,33.0,233,33.1,3798,2923,77.0,875,23.0,899,23.7,13,10,76.9,3,23.1,3,23.1,191,136,71.2,55,28.8,56,29.3,20,16,80.0,17,85.0,2,2,100.0,2,100.0,30,23,76.7,24,80.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,0,0.0,0,0.0,62,61,98.4,61,98.4
EL PASO,MANITOU SPRINGS 14,1682,1146,68.1,537,31.9,537,31.9,113,85,75.2,28,24.8,28,24.8,9,8,88.9,1,11.1,1,11.1,473,314,66.4,159,33.6,159,33.6,0,0,0.0,0,0.0,0,0.0,100,75,75.0,25,25.0,25,25.0,3,0,0.0,3,100.0,3,100.0,111,99,89.2,12,10.8,12,10.8,818,559,68.3,260,31.8,260,31.8,864,587,67.9,277,32.1,277,32.1,15,7,46.7,8,53.3,8,53.3,16,11,68.8,5,31.3,5,31.3,6,5,83.3,1,16.7,1,16.7,158,117,74.1,41,25.9,41,25.9,1406,958,68.1,449,31.9,449,31.9,1,0,0.0,1,100.0,1,100.0,80,48,60.0,32,40.0,32,40.0,5,5,100.0,5,100.0,0,0,0.0,0,0.0,44,37,84.1,41,93.2,0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,11,11,100.0,11,100.0
EL PASO,ACADEMY 20,25881,20007,77.3,5853,22.6,6077,23.5,1898,1528,80.5,368,19.4,395,20.8,561,363,64.7,197,35.1,205,36.5,3722,2572,69.1,1144,30.7,1224,32.9,0,0,0.0,0,0.0,0,0.0,263,197,74.9,65,24.7,69,26.2,28,21,75.0,7,25.0,7,25.0,2667,2405,90.2,262,9.8,264,9.9,12613,9738,77.2,2865,22.7,2968,23.5,13268,10269,77.4,2988,22.5,3109,23.4,111,85,76.6,26,23.4,29,26.1,954,742,77.8,212,22.2,222,23.3,843,559,66.3,283,33.6,296,35.1,3151,2266,71.9,883,28.0,914,29.0,19372,15316,79.1,4038,20.8,4189,21.6,110,79,71.8,31,28.2,31,28.2,1340,960,71.6,380,28.4,396,29.6,111,65,58.6,69,62.2,28,21,75.0,21,75.0,276,210,76.1,216,78.3,0,0,0.0,0,0.0,2,2,100.0,2,100.0,11,6,54.5,6,54.5,294,287,97.6,290,98.6
EL PASO,ELLICOTT 22,1233,736,59.7,496,40.2,506,41.0,160,89,55.6,71,44.4,74,46.3,107,88,82.2,19,17.8,19,17.8,793,492,62.0,300,37.8,305,38.5,2,2,100.0,0,0.0,0,0.0,538,355,66.0,183,34.0,183,34.0,0,0,0.0,0,0.0,0,0.0,35,30,85.7,5,14.3,5,14.3,582,344,59.1,237,40.7,241,41.4,651,392,60.2,259,39.8,265,40.7,3,2,66.7,1,33.3,1,33.3,5,0,0.0,5,100.0,5,100.0,31,8,25.8,23,74.2,24,77.4,256,182,71.1,74,28.9,75,29.3,891,515,57.8,375,42.1,382,42.9,0,0,0.0,0,0.0,0,0.0,47,29,61.7,18,38.3,19,40.4,4,1,25.0,1,25.0,1,1,100.0,1,100.0,37,30,81.1,31,83.8,1,1,100.0,1,100.0,24,23,95.8,23,95.8,2,1,50.0,1,50.0,1,1,100.0,1,100.0
