county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
CONEJOS,1755,1318,431,450,101,72,29,30,28,25,3,3,1176,943,230,242,2,2,0,0,1521,1170,345,361,3,0,3,3,80,71,9,9,906,675,229,240,849,643,202,210,11,0,11,11,7,5,2,2,1006,752,248,264,696,535,161,163,15,13,14,3,2,2,92,78,79,1,0,0,92,82,82,1,0,0,6,6,6
COSTILLA,586,383,203,222,46,34,12,13,92,74,18,19,506,326,180,197,21,14,7,7,403,253,150,163,77,30,47,52,5,5,0,0,274,183,91,103,312,200,112,119,4,4,0,0,2,1,1,1,466,333,133,142,96,37,59,65,1,1,1,17,17,17,30,27,27,1,1,1,18,15,15,5,4,4,3,3,3
CROWLEY,578,382,196,203,60,35,25,26,5,2,3,3,419,262,157,163,2,2,0,0,578,382,196,203,0,0,0,0,11,9,2,2,271,175,96,101,307,207,100,102,0,0,0,0,4,2,2,2,139,86,53,57,385,257,128,131,4,3,3,0,0,0,31,28,30,0,0,0,38,36,37,1,1,1,0,0,0
CUSTER,480,361,119,121,50,44,6,6,0,0,0,0,212,142,70,70,0,0,0,0,178,128,50,51,0,0,0,0,38,35,3,3,238,182,56,57,242,179,63,64,7,7,0,0,5,4,1,1,20,6,14,14,436,336,100,102,5,5,5,0,0,0,20,18,18,0,0,0,0,0,0,0,0,0,7,6,6
DELTA,5630,4387,1222,1344,524,428,92,107,422,311,110,120,2821,2114,692,781,53,28,25,25,2272,1785,475,525,61,15,45,52,333,316,17,17,2735,2142,585,638,2895,2245,637,706,75,36,39,39,29,16,13,13,1154,936,214,242,4204,3285,905,985,44,30,30,30,22,22,238,188,193,5,5,5,2,0,0,10,4,5,40,39,39
DENVER,101183,70528,29884,34586,9563,7114,2374,2930,33214,24947,8081,9302,65857,49535,15743,19048,35,31,4,4,68363,47071,20573,24585,2175,1065,1028,1368,11759,10200,1513,1780,50175,35012,14774,16865,51008,35516,15110,17721,3304,2398,900,989,13762,9204,4392,5390,56228,40501,15286,18058,23953,15795,8049,8688,727,253,273,1141,558,577,4508,2179,2341,52,24,26,4328,2069,2231,404,106,117,952,743,774
DOLORES,318,229,89,91,25,16,9,9,0,0,0,0,146,102,44,45,0,0,0,0,161,119,42,43,0,0,0,0,11,11,0,0,156,116,40,41,162,113,49,50,0,0,0,0,1,1,0,0,21,9,12,13,266,202,64,65,1,1,1,0,0,0,11,9,10,0,0,0,2,2,2,0,0,0,1,1,1
DOUGLAS,66965,55140,11722,12396,5677,4896,773,854,3254,2026,1225,1297,7219,5364,1852,1913,7,1,6,6,1644,935,709,763,678,399,276,335,4022,3733,286,303,32803,27070,5682,5992,34162,28070,6040,6404,2606,2157,445,486,1546,917,627,670,9325,6706,2605,2780,50557,43000,7481,7856,331,220,227,82,61,62,534,346,368,1,0,0,329,252,265,79,44,49,266,262,265
EAGLE,6749,5472,1261,1365,584,507,76,88,2428,1965,455,505,2834,2278,547,612,28,22,6,6,1970,1602,361,406,87,42,45,50,527,462,65,68,3205,2631,568,621,3544,2841,693,744,67,57,10,12,25,19,6,6,3327,2711,605,665,3198,2584,610,647,31,18,18,142,68,68,149,113,113,2,2,2,1,0,0,11,7,7,45,43,44
EL PASO,128825,88927,39653,43430,10653,7724,2908,3338,8281,5835,2406,2724,47941,31352,16355,18510,47,29,18,19,21351,13236,7970,8786,2141,999,1118,1389,9084,8030,1052,1154,62697,43295,19299,21093,66128,45632,20354,22337,3620,2507,1105,1185,9999,6068,3891,4319,28749,19167,9482,10632,77513,55165,22272,24094,616,324,334,276,173,176,2711,1829,1913,4,3,3,121,78,82,184,96,100,864,817,828
